figure,driver,app,variant,warps,threads,tile_rows,tile_cols,matrix_rows,matrix_cols,num_ctas,status,returncode,instrs,cycles,ipc,dxa_transfers,dxa_gmem_reads,dxa_gmem_dedup,dxa_gmem_dedup_rate,dxa_lmem_writes,dxa_avg_gmem_lat,summary_status,attempts,configs,env_overrides,command,output_tail
3b,simx,dxa_copy,dxa,8,8,128,64,512,512,,PASS,0,2240,133109,0.017,,,,,,,,1,-DVX_CFG_LMEM_LOG_SIZE=18 -DVX_CFG_EXT_DXA_ENABLE,,timeout -k 5s 120s ./ci/blackbox.sh --driver=simx --cores=1 --warps=8 --threads=8 --l2cache --perf=6 --app=dxa_copy --args=-d2 -s0 512 -s1 512 -t0 64 -t1 128,"mode: DXA\ntiles: 64 128\ntotal_elems: 262144, groups: 32\nstart\nPASSED\nPERF: l3cache: disabled\nPERF: instrs=2240, cycles=133109, IPC=0.017"
3b,simx,dxa_copy,dxa,8,8,128,128,512,512,,PASS,0,1120,126628,0.009,,,,,,,,1,-DVX_CFG_LMEM_LOG_SIZE=18 -DVX_CFG_EXT_DXA_ENABLE,,timeout -k 5s 120s ./ci/blackbox.sh --driver=simx --cores=1 --warps=8 --threads=8 --l2cache --perf=6 --app=dxa_copy --args=-d2 -s0 512 -s1 512 -t0 128 -t1 128,"mode: DXA\ntiles: 128 128\ntotal_elems: 262144, groups: 16\nstart\nPASSED\nPERF: l3cache: disabled\nPERF: instrs=1120, cycles=126628, IPC=0.009"
3b,simx,dxa_copy,lsu,8,16,16,16,512,512,,PASS,0,277568,1265936,0.219,,,,,,,,1,-DVX_CFG_LMEM_LOG_SIZE=18,DXA_COPY_FORCE_LSU=1,timeout -k 5s 120s ./ci/blackbox.sh --driver=simx --cores=1 --warps=8 --threads=16 --l2cache --perf=6 --app=dxa_copy --args=-d2 -s0 512 -s1 512 -t0 16 -t1 16,"mode: LSU\ntiles: 16 16\ntotal_elems: 262144, groups: 1024\nstart\nPASSED\nPERF: l3cache: disabled\nPERF: instrs=277568, cycles=1265936, IPC=0.219"
3b,simx,dxa_copy,lsu,8,16,16,32,512,512,,PASS,0,333888,855593,0.390,,,,,,,,1,-DVX_CFG_LMEM_LOG_SIZE=18,DXA_COPY_FORCE_LSU=1,timeout -k 5s 120s ./ci/blackbox.sh --driver=simx --cores=1 --warps=8 --threads=16 --l2cache --perf=6 --app=dxa_copy --args=-d2 -s0 512 -s1 512 -t0 32 -t1 16,"mode: LSU\ntiles: 32 16\ntotal_elems: 262144, groups: 512\nstart\nPASSED\nPERF: l3cache: disabled\nPERF: instrs=333888, cycles=855593, IPC=0.390"
3b,simx,dxa_copy,lsu,8,16,16,64,512,512,,PASS,0,273472,627926,0.436,,,,,,,,1,-DVX_CFG_LMEM_LOG_SIZE=18,DXA_COPY_FORCE_LSU=1,timeout -k 5s 120s ./ci/blackbox.sh --driver=simx --cores=1 --warps=8 --threads=16 --l2cache --perf=6 --app=dxa_copy --args=-d2 -s0 512 -s1 512 -t0 64 -t1 16,"mode: LSU\ntiles: 64 16\ntotal_elems: 262144, groups: 256\nstart\nPASSED\nPERF: l3cache: disabled\nPERF: instrs=273472, cycles=627926, IPC=0.436"
3b,simx,dxa_copy,lsu,8,16,16,128,512,512,,PASS,0,243264,501594,0.485,,,,,,,,1,-DVX_CFG_LMEM_LOG_SIZE=18,DXA_COPY_FORCE_LSU=1,timeout -k 5s 120s ./ci/blackbox.sh --driver=simx --cores=1 --warps=8 --threads=16 --l2cache --perf=6 --app=dxa_copy --args=-d2 -s0 512 -s1 512 -t0 128 -t1 16,"mode: LSU\ntiles: 128 16\ntotal_elems: 262144, groups: 128\nstart\nPASSED\nPERF: l3cache: disabled\nPERF: instrs=243264, cycles=501594, IPC=0.485"
3b,simx,dxa_copy,lsu,8,16,32,16,512,512,,PASS,0,237120,811727,0.292,,,,,,,,1,-DVX_CFG_LMEM_LOG_SIZE=18,DXA_COPY_FORCE_LSU=1,timeout -k 5s 120s ./ci/blackbox.sh --driver=simx --cores=1 --warps=8 --threads=16 --l2cache --perf=6 --app=dxa_copy --args=-d2 -s0 512 -s1 512 -t0 16 -t1 32,"mode: LSU\ntiles: 16 32\ntotal_elems: 262144, groups: 512\nstart\nPASSED\nPERF: l3cache: disabled\nPERF: instrs=237120, cycles=811727, IPC=0.292"
3b,simx,dxa_copy,lsu,8,16,32,32,512,512,,PASS,0,314432,667764,0.471,,,,,,,,1,-DVX_CFG_LMEM_LOG_SIZE=18,DXA_COPY_FORCE_LSU=1,timeout -k 5s 120s ./ci/blackbox.sh --driver=simx --cores=1 --warps=8 --threads=16 --l2cache --perf=6 --app=dxa_copy --args=-d2 -s0 512 -s1 512 -t0 32 -t1 32,"mode: LSU\ntiles: 32 32\ntotal_elems: 262144, groups: 256\nstart\nPASSED\nPERF: l3cache: disabled\nPERF: instrs=314432, cycles=667764, IPC=0.471"
3b,simx,dxa_copy,lsu,8,16,32,64,512,512,,PASS,0,263744,523504,0.504,,,,,,,,1,-DVX_CFG_LMEM_LOG_SIZE=18,DXA_COPY_FORCE_LSU=1,timeout -k 5s 120s ./ci/blackbox.sh --driver=simx --cores=1 --warps=8 --threads=16 --l2cache --perf=6 --app=dxa_copy --args=-d2 -s0 512 -s1 512 -t0 64 -t1 32,"mode: LSU\ntiles: 64 32\ntotal_elems: 262144, groups: 128\nstart\nPASSED\nPERF: l3cache: disabled\nPERF: instrs=263744, cycles=523504, IPC=0.504"
3b,simx,dxa_copy,lsu,8,16,32,128,512,512,,PASS,0,238400,447599,0.533,,,,,,,,1,-DVX_CFG_LMEM_LOG_SIZE=18,DXA_COPY_FORCE_LSU=1,timeout -k 5s 120s ./ci/blackbox.sh --driver=simx --cores=1 --warps=8 --threads=16 --l2cache --perf=6 --app=dxa_copy --args=-d2 -s0 512 -s1 512 -t0 128 -t1 32,"mode: LSU\ntiles: 128 32\ntotal_elems: 262144, groups: 64\nstart\nPASSED\nPERF: l3cache: disabled\nPERF: instrs=238400, cycles=447599, IPC=0.533"
3b,simx,dxa_copy,lsu,8,16,64,16,512,512,,PASS,0,216896,606238,0.358,,,,,,,,1,-DVX_CFG_LMEM_LOG_SIZE=18,DXA_COPY_FORCE_LSU=1,timeout -k 5s 120s ./ci/blackbox.sh --driver=simx --cores=1 --warps=8 --threads=16 --l2cache --perf=6 --app=dxa_copy --args=-d2 -s0 512 -s1 512 -t0 16 -t1 64,"mode: LSU\ntiles: 16 64\ntotal_elems: 262144, groups: 256\nstart\nPASSED\nPERF: l3cache: disabled\nPERF: instrs=216896, cycles=606238, IPC=0.358"
3b,simx,dxa_copy,lsu,8,16,64,32,512,512,,PASS,0,304704,566541,0.538,,,,,,,,1,-DVX_CFG_LMEM_LOG_SIZE=18,DXA_COPY_FORCE_LSU=1,timeout -k 5s 120s ./ci/blackbox.sh --driver=simx --cores=1 --warps=8 --threads=16 --l2cache --perf=6 --app=dxa_copy --args=-d2 -s0 512 -s1 512 -t0 32 -t1 64,"mode: LSU\ntiles: 32 64\ntotal_elems: 262144, groups: 128\nstart\nPASSED\nPERF: l3cache: disabled\nPERF: instrs=304704, cycles=566541, IPC=0.538"
